#,TEAM,PTS/G,PTS,PLAYS,YDS,YDS/PLAY,1ST DWN,MADE,ATT,PCT,MADE,ATT,PCT,PEN,PEN YDS,TOP,TO DIFF,,Team Offense,
1,Ravens,30.5,518,1055,7224,6.8,393,92,191,48.2,49,66,74.2,132,1120,31:09:00,6,,,Ravens
2,Lions,33.2,564,1118,6962,6.2,410,98,206,47.6,50,72,69.4,107,988,32:23:00,9,,,Lions
3,Buccaneers,29.5,502,1094,6793,6.2,395,110,216,50.9,46,69,66.7,108,839,32:27:00,-5,,,Buccaneers
4,49ers,22.9,389,1026,6397,6.2,352,84,197,42.6,36,63,57.1,111,843,30:29:00,-10,,,49ers
5,Packers,27.1,460,1027,6298,6.1,343,75,190,39.5,41,69,59.4,111,831,31:35:00,12,,,Packers
6,Falcons,22.9,389,1086,6287,5.8,359,82,209,39.2,29,53,54.7,99,828,30:59:00,-6,,,Falcons
7,Commanders,28.5,485,1101,6284,5.7,380,99,217,45.6,45,71,63.4,111,960,31:55:00,1,,,Commanders
8,Eagles,27.2,463,1114,6242,5.6,360,98,235,41.7,39,68,57.4,103,793,32:23:00,11,,,Eagles
9,Bengals,27.8,472,1080,6214,5.8,376,100,214,46.7,39,61,63.9,101,780,31:03:00,3,,,Bengals
10,Bills,30.9,525,1025,6105,6,360,89,202,44.1,48,67,71.6,112,833,30:51:00,24,,,Bills
11,Cardinals,23.5,400,1036,6090,5.9,356,83,193,43,32,57,56.1,92,806,30:45:00,-3,,,Cardinals
12,Vikings,25.4,432,1054,5898,5.6,353,80,200,40,34,61,55.7,110,845,31:35:00,12,,,Vikings
13,Colts,22.2,377,1041,5692,5.5,315,83,219,37.9,28,52,53.8,93,684,28:00:00,-4,,,Colts
14,Seahawks,22.1,375,1030,5647,5.5,329,79,210,37.6,24,42,57.1,119,987,29:12:00,-6,,,Seahawks
15,Rams,21.6,367,1040,5633,5.4,342,74,201,36.8,33,63,52.4,91,798,30:34:00,6,,,Rams
16,Chiefs,22.6,385,1091,5570,5.1,350,111,229,48.5,35,65,53.8,94,829,31:07:00,6,,,Chiefs
17,Cowboys,20.6,350,1104,5567,5,327,84,228,36.8,23,50,46,128,922,29:16:00,-6,,,Cowboys
18,Dolphins,20.3,345,1082,5532,5.1,345,77,212,36.3,30,53,56.6,114,926,32:51:00,-5,,,Dolphins
19,Broncos,25,425,1055,5518,5.2,315,91,230,39.6,35,56,62.5,108,941,30:02:00,6,,,Broncos
20,Chargers,23.6,402,1017,5511,5.4,316,89,221,40.3,28,50,56,96,718,31:40:00,12,,,Chargers
21,Saints,19.9,338,1032,5442,5.3,304,76,216,35.2,25,43,58.1,110,1003,28:08:00,-2,,,Saints
22,Texans,21.9,372,1058,5435,5.1,308,87,231,37.7,28,57,49.1,119,981,31:54:00,10,,,Texans
23,Steelers,22.4,380,1081,5430,5,318,90,228,39.5,27,56,48.2,102,823,31:48:00,16,,,Steelers
24,Jets,19.9,338,1010,5275,5.2,314,83,210,39.5,30,55,54.5,137,1134,29:03:00,-2,,,Jets
25,Jaguars,18.8,320,992,5206,5.2,298,76,204,37.3,29,50,58,99,787,27:07:00,-15,,,Jaguars
26,Titans,18.3,311,1032,5172,5,309,81,215,37.7,24,45,53.3,132,1030,31:58:00,-16,,,Titans
27,Raiders,18.2,309,1065,5154,4.8,310,78,224,34.8,22,45,48.9,96,807,29:21:00,-16,,,Raiders
28,Browns,15.2,258,1118,5114,4.6,303,70,237,29.5,18,37,48.6,119,915,30:13:00,-22,,,Browns
29,Panthers,20.1,341,993,5066,5.1,293,76,211,36,31,50,62,118,947,28:00:00,-5,,,Panthers
30,Giants,16.1,273,1063,5011,4.7,301,82,232,35.3,19,44,43.2,112,928,30:13:00,-8,,,Giants
31,Patriots,17,289,1027,4963,4.8,301,75,215,34.9,22,47,46.8,111,916,29:20:00,-11,,,Patriots
32,Bears,18.2,310,1065,4820,4.5,296,76,231,32.9,23,37,62.2,110,867,30:10:00,8,,,Bears