Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
cameron young,0.16,0.27,3.22,1.48,4.97,5.13,1,0.75
cameron young,0.82,1.26,2.02,1.28,4.56,5.38,2,0.83
cameron young,2.37,-2.49,0.25,-0.66,-2.9,-0.53,3,0.5
cameron young,1.46,0.65,1.6,0.97,3.21,4.67,4,1.0
matt fitzpatrick,1.66,1.67,0.13,-0.33,1.47,3.13,1,0.556
matt fitzpatrick,-0.69,1.84,1.32,0.91,4.08,3.38,2,0.8333
matt fitzpatrick,-0.08,0.09,1.13,1.32,2.54,2.47,3,0.5
matt fitzpatrick,0.59,0.59,2,1.49,4.08,4.67,4,0.75
xander schauffele,0.0,0.24,5.26,-1.38,4.13,4.13,1,0.75
xander schauffele,1.58,0.27,2.6,2.93,5.8,7.38,2,1.0
xander schauffele,-0.58,-1.66,-1.53,1.23,-1.95,-2.53,3,0.7
xander schauffele,1.66,1.58,1.14,-0.71,2.01,3.67,4,0.8333
robert macintyre,0.73,0.14,-0.7,0.96,0.4,1.13,1,0.8333
robert macintyre,0.07,-0.95,0.47,0.78,0.31,0.39,2,0.5
robert macintyre,2.58,2.11,0.3,1.47,3.89,6.47,3,0.6667
robert macintyre,1.21,0.64,1.39,0.44,2.47,3.67,4,0.6
ludvig aberg,0.81,-0.6,1.53,2.39,3.32,4.13,1,1.0
ludvig aberg,2.13,1.56,4,1.69,7.26,9.38,2,0.8
ludvig aberg,-0.18,-0.11,0.58,0.18,0.65,0.47,3,0.8
ludvig aberg,-1.33,0.63,-2.46,-0.16,-1.99,-3.33,4,0.5556
jacob bridgeman,2.43,-1.05,1.24,0.52,0.7,3.13,1,0.3333
jacob bridgeman,3.26,0.54,-0.11,0.69,1.12,4.38,2,0.75
jacob bridgeman,1.29,2.64,-3.66,0.2,-0.82,0.47,3,0.75
jacob bridgeman,2.77,-0.85,-0.91,1.66,-0.1,2.67,4,0.0
sudarshan yellamaraju,-0.06,-0.16,0.69,-0.34,0.19,0.13,1,0.5
sudarshan yellamaraju,1.5,-1.49,-0.89,1.27,-1.11,0.39,2,0.6667
sudarshan yellamaraju,2.52,0.01,2,0.93,2.95,5.47,3,1.0
sudarshan yellamaraju,1.54,-0.26,2.72,0.67,3.13,4.67,4,0.3333
justin thomas,2.56,0.49,0.49,1.59,2.57,5.13,1,0.8
justin thomas,1.62,1.01,1.78,-0.03,2.77,4.38,2,0.6667
justin thomas,0.45,-0.3,0.76,-1.46,-0.99,-0.53,3,0.5
justin thomas,-0.36,0.06,2.54,-1.56,1.03,0.67,4,0.6667
tommy fleetwood,-0.3,1.22,1.84,1.36,4.43,4.13,1,0.25
tommy fleetwood,1.22,-0.18,0.49,0.85,1.16,2.38,2,0.5714
tommy fleetwood,-3.02,0.92,0.43,0.13,1.49,-1.53,3,0.6
tommy fleetwood,-0.64,1.53,2.33,1.45,5.31,4.67,4,0.6667
sepp straka,2.18,2.22,1.97,-0.24,3.95,6.13,1,1.0
sepp straka,1.39,-0.95,0.47,1.47,0.99,2.38,2,1.0
sepp straka,-0.27,0.22,-0.52,0.03,-0.26,-0.53,3,0.5556
sepp straka,-0.74,1.02,1.3,0.08,2.41,1.67,4,0.25
brian harman,-1.49,-0.79,0.49,-0.07,-0.38,-1.87,1,0.375
brian harman,1.34,2.22,2.31,2.51,7.04,8.38,2,1.0
brian harman,1.4,0.06,0.61,0.4,1.07,2.47,3,0.625
brian harman,-1.53,3.55,-2.55,0.2,1.2,-0.33,4,0.6667
patrick rodgers,0.36,2.72,-1.33,1.38,2.78,3.13,1,0.8333
patrick rodgers,0.55,1.02,0.16,0.66,1.83,2.38,2,0.5
patrick rodgers,0.03,-0.18,0.07,0.55,0.44,0.47,3,0.5
patrick rodgers,1.77,-0.4,1.27,0.04,0.91,2.67,4,0.5
brooks koepka,0.69,-0.69,0.57,0.56,0.45,1.13,1,0.6667
brooks koepka,-0.68,0.34,2.1,0.62,3.06,2.38,2,0.25
brooks koepka,-0.05,0.53,1.27,0.71,2.52,2.47,3,0.7143
brooks koepka,-1.11,0.45,2.8,-0.47,2.78,1.67,4,0.6
justin rose,-0.21,1.43,-0.41,0.32,1.34,1.13,1,0.625
justin rose,2.01,1.23,1.5,-0.36,2.37,4.38,2,0.6667
justin rose,3.19,-0.82,0.17,-1.08,-1.72,1.47,3,0.6667
justin rose,-1.87,2.36,-0.35,0.53,2.54,0.67,4,0.3333
akshay bhatia,-0.95,0.01,1.66,1.42,3.09,2.13,1,0.8
akshay bhatia,1.06,-1.22,0.39,1.15,0.33,1.39,2,0.5
akshay bhatia,-0.72,-0.15,1.2,1.14,2.19,1.47,3,0.8
akshay bhatia,1.37,-2.99,4,0.29,1.3,2.67,4,0.3333
russell henley,2.77,0.2,1.38,0.78,2.36,5.13,1,0.7143
russell henley,0.06,0.54,2.36,-1.58,1.33,1.39,2,0.75
russell henley,-1.71,0.37,0.4,1.4,2.17,0.47,3,0.6667
russell henley,1.57,-0.61,-1.12,0.84,-0.9,0.67,4,0.4286
sam burns,1.5,-3.2,-1.45,0.27,-4.37,-2.87,1,0.375
sam burns,2.19,0.08,1.21,0.9,2.19,4.38,2,0.5714
sam burns,-0.71,1.67,0.35,1.16,3.17,2.47,3,0.6667
sam burns,4.7,0.02,-0.82,-0.23,-1.03,3.67,4,0.75
viktor hovland,1.4,3.49,-0.57,-0.18,2.73,4.13,1,1.0
viktor hovland,0.39,1.02,1.51,-0.54,1.99,2.38,2,0.8
viktor hovland,0.47,1.28,1.26,-0.54,2.0,2.47,3,0.6667
viktor hovland,-1.64,1.72,-0.84,-0.56,0.31,-1.33,4,0.54555
corey conners,-1.25,0.33,3.27,1.78,5.38,4.13,1,0.75
corey conners,1.25,0.09,3.48,0.57,4.14,5.38,2,0.3333
corey conners,0.35,-0.52,0,-0.36,-0.89,-0.53,3,0.5714
corey conners,0.12,-1.57,-0.69,0.81,-1.45,-1.33,4,0.4286
austin smotherman,0.54,1.07,3.5,1.02,5.59,6.13,1,1.0
austin smotherman,-1.82,-1.32,1.45,2.08,2.21,0.39,2,0.6667
austin smotherman,-1.4,0.28,1.28,1.3,2.87,1.47,3,0.7143
austin smotherman,1.06,-1.53,-1.36,1.5,-1.39,-0.33,4,0.25
ryo hisatsune,-0.16,0.16,1.45,0.69,2.29,2.13,1,0.0
ryo hisatsune,0.05,0.91,1.54,0.89,3.33,3.38,2,0.8333
ryo hisatsune,-1.86,0.68,2.77,-0.13,3.32,1.47,3,0.01
ryo hisatsune,-1.14,1.25,-0.75,1.32,1.81,0.67,4,0.6
scottie scheffler,1.16,-0.95,0.94,-0.01,-0.03,1.13,1,0.3333
scottie scheffler,-1.35,-0.08,1.72,-0.91,0.74,-0.61,2,0.5
scottie scheffler,1.59,1.68,0.03,1.17,2.88,4.47,3,1.0
scottie scheffler,0.79,2.42,-1.62,0.09,0.88,1.67,4,0.625
michael thorbjornsen,-0.79,-0.06,-1.87,1.85,-0.08,-0.87,1,0.625
michael thorbjornsen,1.75,2.17,1.8,1.66,5.64,7.38,2,0.8
michael thorbjornsen,1.34,-0.44,3.22,0.34,3.13,4.47,3,0.6
michael thorbjornsen,-1.31,0.68,-2.83,-0.86,-3.01,-4.33,4,0.25
j.j. spaun,-0.02,-0.11,1.56,0.7,2.15,2.13,1,0.4
j.j. spaun,-1.93,-0.22,1.96,0.58,2.32,0.39,2,0.5
j.j. spaun,3.82,-1.11,1.02,-0.26,-0.35,3.47,3,0.8889
j.j. spaun,-0.06,-0.53,0.42,-0.16,-0.27,-0.33,4,0.5
alex smalley,0.97,-0.47,1.16,1.47,2.16,3.13,1,0.6667
alex smalley,1.4,-1.6,1.33,1.27,0.99,2.38,2,0.6667
alex smalley,-0.31,1.85,-1.36,0.28,0.77,0.47,3,0.6667
alex smalley,0.26,-0.59,1.02,-1.02,-0.59,-0.33,4,0.5714
william mouw,2.42,-1.76,2.83,0.64,1.71,4.13,1,0.4
william mouw,-0.41,0.86,-0.32,0.26,0.8,0.39,2,0.6667
william mouw,-0.87,0.21,1.02,2.11,3.34,2.47,3,0.5
william mouw,0.3,-0.79,-1.64,0.8,-1.63,-1.33,4,0.4286
chris kirk,-1.64,1.84,1.76,0.17,3.77,2.13,1,0.6667
chris kirk,-0.86,-0.83,0.88,-0.81,-0.76,-1.61,2,0.5
chris kirk,-0.08,-0.17,-0.08,0.79,0.55,0.47,3,0.5
chris kirk,1.41,0.5,1.61,0.14,2.26,3.67,4,0.6
hideki matsuyama,1.4,-0.26,1.4,0.59,1.73,3.13,1,0.8
hideki matsuyama,-0.88,0.28,1.28,-0.29,1.26,0.39,2,0.6
hideki matsuyama,-1.54,0.22,-2.31,-0.9,-3.0,-4.53,3,0.375
hideki matsuyama,3.28,0.85,1.88,-0.34,2.39,5.67,4,0.8
ryan gerard,-0.73,1.66,-0.22,-0.58,0.86,0.13,1,0.4286
ryan gerard,2.13,0.67,1.53,0.06,2.25,4.38,2,0.8333
ryan gerard,0.64,-0.57,-2.33,0.73,-2.18,-1.53,3,0.5
ryan gerard,-0.1,-0.6,1.06,1.31,1.77,1.67,4,0.25
chad ramey,3.46,-0.54,-0.9,-0.89,-2.33,1.13,1,0.4286
chad ramey,0.4,-0.04,2.59,0.44,2.99,3.38,2,0.8
chad ramey,-1.65,-0.29,-0.79,1.19,0.12,-1.53,3,0.667
chad ramey,0.2,0.56,0.22,0.69,1.47,1.67,4,0.5714
nicolai hojgaard,1.44,1.33,-0.66,0.01,0.69,2.13,1,0.6667
nicolai hojgaard,1.91,2.13,-1.77,-3.89,-3.53,-1.61,2,0.7
nicolai hojgaard,0.24,-0.23,1.45,-1,0.23,0.47,3,1.0
nicolai hojgaard,1.96,-1.54,3.17,0.09,1.71,3.67,4,0.5
alex noren,1.4,1.07,0.88,-1.22,0.73,2.13,1,0.5556
alex noren,3.41,-0.31,-2.54,0.83,-2.02,1.39,2,0.5714
alex noren,-2.32,1.32,2.1,-2.64,0.78,-1.53,3,0.4444
alex noren,0.38,1.77,-0.75,0.27,1.29,1.67,4,0.7143
patrick cantlay,-0.88,1.11,-0.35,0.25,1.02,0.13,1,0.625
patrick cantlay,-1.11,-0.6,-0.27,1.36,0.49,-0.61,2,0.5
patrick cantlay,1.83,0.2,-0.98,0.41,-0.37,1.47,3,0.8333
patrick cantlay,0.6,0.8,-0.34,1.61,2.07,2.67,4,0.75
bud cauley,-0.15,1.4,1.47,0.42,3.28,3.13,1,0.57114
bud cauley,0.83,0.08,-1.31,-1.22,-2.45,-1.61,2,0.75
bud cauley,-1.56,0.63,0.18,0.22,1.03,-0.53,3,0.5
bud cauley,-1.0,1.94,0.9,0.84,3.67,2.67,4,0.75
maverick mcnealy,1.99,1.22,1.58,1.34,4.14,6.13,1,0.8333
maverick mcnealy,1.22,-0.34,0.52,-0.02,0.16,1.39,2,0.75
maverick mcnealy,0.73,0.12,-2.65,0.28,-2.26,-1.53,3,0.5
maverick mcnealy,-1.07,-0.53,-0.05,-0.67,-1.26,-2.33,4,0.375
jordan spieth,0.11,0.56,0.91,-1.45,0.02,0.13,1,0.7143
jordan spieth,-0.57,1.89,2.25,0.82,4.96,4.38,2,0.7143
jordan spieth,-5.08,1.44,0.41,-1.3,0.55,-4.53,3,0.375
jordan spieth,3.21,-1.04,1.87,-0.37,0.46,3.67,4,0.5
min woo lee,-0.26,1.01,-1.1,1.48,1.39,1.13,1,0.5
min woo lee,1.15,-0.94,2.17,0.01,1.24,2.38,2,0.5
min woo lee,0.67,-0.14,-1.11,2.05,0.8,1.47,3,0.8571
min woo lee,-0.11,-1.25,-0.08,0.11,-1.22,-1.33,4,0.2
eric cole,0.13,1.01,-1.16,0.15,0.0,0.13,1,-0.615
eric cole,1.55,-0.59,-0.08,-1.5,-2.16,-0.61,2,0.5556
eric cole,1.21,0.2,0.43,-1.38,-0.75,0.47,3,0.6667
eric cole,2.0,1.8,0.55,-0.68,1.67,3.67,4,0.5
sahith theegala,0.16,0.94,3.98,1.05,5.97,6.13,1,1.0
sahith theegala,1.86,-0.7,-1.39,-1.39,-3.47,-1.61,2,0.6667
sahith theegala,1.13,0.09,2.21,0.03,2.33,3.47,3,0.8333
sahith theegala,-1.72,-0.19,-0.75,-1.68,-2.61,-4.33,4,0.1429
max homa,1.21,-1.43,3.53,-1.19,0.92,2.13,1,0.4286
max homa,0.1,-0.18,-0.29,0.75,0.28,0.39,2,0.2
max homa,0.3,-0.32,0.55,0.93,1.17,1.47,3,0.4
max homa,0.78,0.18,-0.46,-0.82,-1.11,-0.33,4,0.4286
andrew putnam,1.17,0.89,0.02,1.05,1.96,3.13,1,0.7143
andrew putnam,-1.15,2.02,-0.15,-0.35,1.53,0.39,2,0.5714
andrew putnam,-1.2,0.27,-0.64,0.03,-0.33,-1.53,3,0.4286
andrew putnam,-0.07,0.41,0.91,0.42,1.75,1.67,4,0.5
rickie fowler,-0.2,1.04,1.88,0.41,3.33,3.13,1,0.7143
rickie fowler,1.1,-1.65,0.32,0.62,-0.71,0.39,2,0.5
rickie fowler,-0.14,0.25,-3.41,-0.23,-3.39,-3.53,3,0.6
rickie fowler,1.44,-1.19,1.1,1.32,1.23,2.67,4,0.5
nick taylor,-0.26,0.06,0.12,-0.79,-0.61,-0.87,1,0.4
nick taylor,0.43,1.16,0.86,-0.06,1.96,2.38,2,0.8333
nick taylor,-0.63,1.09,-0.17,1.16,2.09,1.47,3,0.6667
nick taylor,-3.4,2.19,0.23,0.66,3.07,-0.33,4,0.5
wyndham clark,-0.76,0.98,1.97,-2.05,0.89,0.13,1,0.5
wyndham clark,0.51,-0.37,0.03,2.21,1.88,2.38,2,0.75
wyndham clark,-1.69,0.74,1.79,-0.37,2.15,0.47,3,0.5
wyndham clark,0.01,1.58,-0.09,-1.84,-0.34,-0.33,4,0.3636
joe highsmith,0.64,0.13,2.12,0.25,2.49,3.13,1,0.6667
joe highsmith,-1.02,0.06,0.9,-2.56,-1.59,-2.62,2,0.5
joe highsmith,2.48,1.38,0.74,-1.14,0.98,3.47,3,0.7778
joe highsmith,-0.72,-0.27,1.26,-1.6,-0.61,-1.33,4,0.5
rory mcilroy,-1.28,0.37,-0.53,0.57,0.41,-0.87,1,0.625
rory mcilroy,-0.27,0.58,-0.68,1.75,1.65,1.39,2,0.7143
rory mcilroy,-2.37,0.6,1.65,-0.42,1.83,-0.53,3,0.25
rory mcilroy,-1.45,-0.22,0.29,3.05,3.13,1.67,4,0.6
taylor pendrith,-2.36,1.96,-0.21,-0.26,1.49,-0.87,1,0.625
taylor pendrith,-0.58,1.38,0.58,2.01,3.97,3.38,2,0.8333
taylor pendrith,-0.3,0.54,-2.07,1.29,-0.23,-0.53,3,0.5714
taylor pendrith,-1.1,0.55,-1.28,1.5,0.77,-0.33,4,0.625
matti schmid,0.7,0.79,0.87,0.77,2.43,3.13,1,0.75
matti schmid,2.84,-1.06,-1.99,-0.4,-3.46,-0.61,2,0.5556
matti schmid,0.76,1.25,-0.43,-1.12,-0.3,0.47,3,0.5556
matti schmid,-1.51,-0.26,0.02,0.42,0.18,-1.33,4,0.2857
keith mitchell,-1.32,2.52,-1.38,1.31,2.46,1.13,1,0.8182
keith mitchell,1.3,1.73,-0.66,2.01,3.08,4.38,2,1.0
keith mitchell,-0.49,0.56,1.54,-2.15,-0.05,-0.53,3,0.6667
keith mitchell,0.16,-2.33,-1.32,0.16,-3.49,-3.33,4,0.3
si woo kim,0.54,0.98,-1.8,0.42,-0.41,0.13,1,0.8182
si woo kim,0.29,0.65,-2.06,1.51,0.1,0.39,2,0.7143
si woo kim,0.63,0.35,1.3,1.18,2.83,3.47,3,0.6667
si woo kim,-0.89,-0.46,-1.28,-0.7,-2.44,-3.33,4,0.2857
j.t. poston,-1.11,-0.4,-1.62,0.26,-1.76,-2.87,1,0.5
j.t. poston,4.14,0.47,-0.91,-0.32,-0.76,3.38,2,0.625
j.t. poston,-0.09,0.19,-1.24,1.61,0.56,0.47,3,0.6667
j.t. poston,0.37,-1.21,0.29,0.22,-0.7,-0.33,4,0.25
keegan bradley,-0.2,-0.33,-0.2,-3.14,-3.67,-3.87,1,0.375
keegan bradley,3.26,1.23,0.97,0.92,3.12,6.38,2,0.8571
keegan bradley,2.08,-1.05,0.68,1.76,1.39,3.47,3,0.5
keegan bradley,0.04,0.32,-4.43,-1.25,-5.37,-5.33,4,0.5
taylor moore,1.42,1.5,0.64,1.58,3.71,5.13,1,0.6667
taylor moore,-0.39,-1.22,-0.56,-0.45,-2.22,-2.62,2,0.4444
taylor moore,-0.52,-0.02,0.41,-0.4,-0.01,-0.53,3,0.6667
taylor moore,-0.85,-1.34,-0.05,0.9,-0.48,-1.33,4,0.5
max mcgreevy,-0.92,-1.89,1.94,2,2.06,1.13,1,0.3333
max mcgreevy,0.85,-1.04,0.61,-0.03,-0.47,0.39,2,0.5
max mcgreevy,1.24,-0.1,-0.29,0.62,0.23,1.47,3,0.7143
max mcgreevy,-0.66,-1.0,-1.01,0.34,-1.67,-2.33,4,0.3333
zachary bauchou,-1.77,-1.1,0.75,1.26,0.9,-0.87,1,0.4286
zachary bauchou,0.2,0.38,0.58,-0.77,0.19,0.39,2,0.5
zachary bauchou,0.53,0.58,0.59,0.77,1.93,2.47,3,0.6667
zachary bauchou,0.0,-0.31,-1.11,0.09,-1.33,-1.33,4,0.7143
chris gotterup,-0.83,0.37,2.8,-0.21,2.96,2.13,1,0.8
chris gotterup,-0.85,1.19,-0.91,-0.04,0.24,-0.61,2,0.4444
chris gotterup,2.64,-1.06,1.53,0.36,0.83,3.47,3,0.6667
chris gotterup,-0.73,-1.88,-1.95,-0.77,-4.6,-5.33,4,0.4
adam scott,-1.56,0.23,3.82,-1.35,2.69,1.13,1,0.5
adam scott,-1.55,0.37,1.64,-0.07,1.94,0.39,2,0.6
adam scott,2.81,-0.18,-1.14,-1.02,-2.34,0.47,3,0.5556
adam scott,-2.04,-0.46,1.74,-1.57,-0.29,-2.33,4,0.5556
sam stevens,-0.31,-0.77,0.25,1.97,1.45,1.13,1,0.75
sam stevens,-0.73,-0.25,0.82,0.54,1.11,0.39,2,0.2
